Birre;;;;
Baffo D'oro 20 cl;3;;;
Martin's Rossa  20 cl                ;3,5;;;
SANPATRIZIO  20 cl;3;;;
RUSSA        20 cl;3;;;
ISTRIANA     20 cl;3;;;
PANACHE'   20 cl;3;;;
Baffo D'oro 40cl;4,5;;;
Martin's Rossa     40 cl          ;5;;;
SANPATRIZIO   40 cl;4,5;;;
RUSSA        40 cl;4,5;;;
ISTRIANA     40 cl;4,5;;;
PANACHE'   40 cl;4,5;;;
Baffo D'oro litro;10;;;
Martin's Rossa  litro              ;12;;;
Beck's                                                                  ; 3 ;;;
Beck's Blue                                                                 ; 3 ;;;
Ceres ; 3 ;;;
Corona Extra                                     ; 3 ;;;
Desperados; 3 ;;;
Franziskaner Bionda               ; 4 ;;;
Franziskaner  rossa ; 4 ;;;
Guinness                                  ; 3 ;;;
Paulaner hefe                                               ; 4 ;;;
Erdinger                           ; 4 ;;;
Tennent`s Super                 ; 3 ;;;
No Glutine; 3 ;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Vini Sfusi;;;;
Bianco Calice; 2,5 ;;;
Bianco 1/4 lt; 3,5 ;;;
Bianco 1/2 lt; 4,5 ;;;
Rosso Calice; 2,5 ;;;
Rosso 1/4 lt; 3,5 ;;;
Rosso 1/2 lt; 4,5 ;;;
Vini Bianchi;;;;
Arneis Langhe; 11 ;;;
Arneis Langhe Bevione; 13 ;;;
Arneis Roero     ; 13 ;;;
Cortese Piemonte ; 10 ;;;
Erbaluce                                             ; 13 ;;;
 ;   ;;;
Favorita Langhe; 10 ;;;
Greco di Tufo                          ; 16 ;;;
Ribolla Gialla                          ; 10 ;;;
Insolia                                                                                ; 13 ;;;
Traminer ; 10 ;;;
Aglianico                       ; 10 ;;;
Vini Rossi;;;;
Barbera  piemonte ; 10 ;;;
Barbera Borgo Lame; 11 ;;;
Barbera d'Alba; 14 ;;;
Barbera d'Alba; 12 ;;;
Barbera Dogliani ; 11 ;;;
Bonarda ; 10 ;;;
Bonarda Piemonte; 12 ;;;
Cannonau              ; 11 ;;;
Chardonay Piemonte; 10 ;;;
Chianti ; 13 ;;;
Dolcetto  Langhe ; 11 ;;;
Dolcetto Borgo Lame; 11 ;;;
Dolcetto D.O.C.G; 14 ;;;
Dolcetto Dogliani; 11 ;;;
Montepulciano ; 10 ;;;
Nebbiolo Langhe; 12 ;;;
Nero d'Avola  ; 13 ;;;
Primitivo del Salento ; 10 ;;;
Primitivo Manduria ; 16 ;;;
Rosato Langhe; 13 ;;;
Ruche'; 17 ;;;
Spumante;;;;
Prosecco Treviso doc     ; 10 ;;;
Ribolla Extra Dry; 10 ;;;
Prosecco Extra Dry; 10 ;;;
Gancia Asti; 10 ;;;
Moscato ; 10 ;;;
Bibite;;;;
Fanta Aranciata; 3 ;;;
Sprite; 3 ;;;
Lemonsoda; 3 ;;;
Cocacola   Zero      ; 3 ;;;
Cocacola         ; 3 ;;;
Red Bul; 3 ;;;
EstaThe (limone, pesca); 3 ;;;
Tonica schweppes; 3 ;;;
 ;   ;;;
LIQUORI;;;;
Amari; 3 ;;;
Baileys; 3 ;;;
Genepi ; 3 ;;;
Limoncello; 3 ;;;
Sambuca Molinari; 3 ;;;
Zedda Piras Mirto; 3 ;;;
Grappa barriche gialla; 3,5 ;;;
Grappa Candolini Bianca; 3 ;;;
Grappa Gratacul ; 3 ;;;
ACQUA ;;;;
Acqua   nat 0,50 lt; 1 ;;;
Acqua gas 0,50 lt; 1 ;;;
Acqua   nat litro; 2 ;;;
Acqua  gas litro; 2 ;;;
CAFFETTERIA ;;;;
Caffe; 1 ;;;
Caffe corretto; 1,5 ;;;
Caffe Orzo; 1,5 ;;;
Caffe Deca; 1,5 ;;;
Caffe panna; 2 ;;;
Cappuccino; 2 ;;;
Marocchino Nut; 3 ;;;
Marocchino Nut/panna; 3,5 ;;;
Caffe shakerato; 3 ;;;
Caffe shakerato corretto; 3,5 ;;;
Cioccolata; 3 ;;;
Cioccolata panna; 3,5 ;;;
Cioccolata  rum; 3,5 ;;;
Cioccolata sambuca; 3,5 ;;;
The e Tisane     ; 3 ;;;
